w_v,avg_pH,avg_pD
0.75,0.666666666666668,0.666666666666668
0.755,0.666666666666668,0.666666666666668
0.76,0.666666666666668,0.666666666666667
0.765,0.666666666666668,0.666666666666668
0.77,0.666666666666668,0.666666666666667
0.775,0.666666666666668,0.666666666666668
0.78,0.666666666666668,0.666666666666668
0.785,0.666666666666668,0.666666666666667
0.79,0.666666666666668,0.666666666666667
0.795,0.666666666666668,0.666666666666667
0.8,0.666666666666668,0.666666666666667
0.805,0.666666666666668,0.666666666666667
0.81,0.666666666666668,0.666666666666667
0.815,0.666666666666668,0.666666666666667
0.82,0.666666666666671,0.666666666666668
0.825,0.666666666666668,0.666666666666666
0.83,0.666666666666646,0.666666666666658
0.835,0.666666666656636,0.666666666662662
0.84,0.66666666670626,0.66666666668613
0.845,0.666666666666669,0.666666666666668
0.85,0.666823629608225,0.667241803680493
0.855,0.667331074535442,0.669095266907596
0.86,0.668221421814203,0.67231993546612
0.865,0.668924695256688,0.674830517980953
0.87,0.669588695158961,0.677209842740585
0.875,0.670231718913565,0.679495373783101
0.88,0.670831198305667,0.681396985439788
0.885,0.671560454490191,0.683955960219224
0.89,0.672198528263576,0.685972629872467
0.895,0.67294012024586,0.688502227786706
0.9,0.673625831613504,0.690725654556821
0.905,0.6743147581263,0.692894267849457
0.91,0.675018334875973,0.695188297607322
0.915,0.675725878790615,0.697433048839167
0.92,0.676487448701011,0.699858395204277
0.925,0.677165584659939,0.701938528130286
0.93,0.677796469399257,0.703733392305421
0.935,0.678651844910061,0.70655119810615
0.94,0.679393273579639,0.708779458256017
0.945,0.680214509985593,0.711599715005695
0.95,0.680947167887425,0.713522575465396
0.955,0.681758131080837,0.716174453605186
0.96,0.682530415185945,0.718581332306348
0.965,0.683266132938271,0.720811971518339
0.97,0.684151523144532,0.723629630864949
0.975,0.684977948532187,0.726080251529454
0.98,0.685867635363007,0.728971486208286
0.985,0.686689337937149,0.731357085418863
0.99,0.687605270425115,0.734319297604445
0.995,0.688450022141187,0.736741500468744
1,0.689335428417559,0.739522010550561
1.005,0.690224583415989,0.742259236441007
1.01,0.691136274253682,0.745188671496174
1.015,0.692213028177173,0.748700802802671
1.02,0.693222514426173,0.751985488177169
1.025,0.694029243105371,0.754389797872122
1.03,0.695033716087734,0.757686270809807
1.035,0.696151820084655,0.761437903452744
1.04,0.69715994383008,0.764772860038027
1.045,0.697938816341206,0.767294752639433
1.05,0.699261909996445,0.771885546881127
1.055,0.700344747124404,0.775653417041418
1.06,0.701486401120451,0.779728273242654
1.065,0.702758204851228,0.784334750196325
1.07,0.70382878707784,0.788380351587237
1.075,0.705077832623975,0.79312491742662
1.08,0.706438470181584,0.798362695782319
1.085,0.707536896758787,0.803134529198979
1.09,0.708776555090093,0.808550718874195
1.095,0.710172324354488,0.814736605199324
1.1,0.711555910832074,0.821161289856817
